class_name,order_name,genus,LAD,EXTANT,FALSE.EXT
(blank),(blank),Acanthias,0.781,0,0
(blank),(blank),Acera,0.0117,1,0
(blank),(blank),Acervulina,0.0117,1,0
(blank),(blank),Achomosphaera,2.588,0,0
(blank),(blank),Acrostichum,2.588,0,0
(blank),(blank),Actinocyclus,2.588,0,0
(blank),(blank),Actinoptychus,2.588,0,0
(blank),(blank),Acus,7.246,0,0
(blank),(blank),Aequipecten,0.781,0,0
(blank),(blank),Alabamina,1.9,1,0
(blank),(blank),Alliatinella,15.97,1,1
(blank),(blank),Allosorex,13.65,0,0
(blank),(blank),Amalda,5.333,0,0
(blank),(blank),Amalthea,0.0117,0,0
(blank),(blank),Ambystoma,0.0117,0,0
(blank),(blank),Ammobaculites,15.97,1,1
(blank),(blank),Ammodiscus,19,1,1
(blank),(blank),Ammonia,0.0117,1,0
(blank),(blank),Amnicythere,11.62,0,0
(blank),(blank),Amphechinus,22.4,0,0
(blank),(blank),Amphicoryna,20.44,1,1
(blank),(blank),Amphimorphina,20.44,1,1
(blank),(blank),Amphiperatherium,13.65,0,0
(blank),(blank),Amphistegina,0.0117,1,0
(blank),(blank),Amphiuma,0.0117,1,0
(blank),(blank),Anacardites,2.588,0,0
(blank),(blank),Anadara,0.0117,0,0
(blank),(blank),Anaulus,11.62,0,0
(blank),(blank),Andrias,13.65,0,0
(blank),(blank),Angulogerina,0.0117,1,0
(blank),(blank),Anisotremus,3.6,1,0
(blank),(blank),Annellus,11.62,0,0
(blank),(blank),Anomalina,2.588,0,0
(blank),(blank),Anomalinella,15.97,1,1
(blank),(blank),Anomalinoides,1.806,1,0
(blank),(blank),Anona,2.588,1,0
(blank),(blank),Antiguraleus,2.588,0,0
(blank),(blank),Antillia,2.588,0,0
(blank),(blank),Apteodinium,20.44,0,0
(blank),(blank),Arca,0.0117,0,0
(blank),(blank),Architectonica,2.588,0,0
(blank),(blank),Arenodosaria,15.9,0,0
(blank),(blank),Argobuccinum,2.588,0,0
(blank),(blank),Arthrocardia,11.608,1,1
(blank),(blank),Arutella,7.246,1,1
(blank),(blank),Aspella,0.781,0,0
(blank),(blank),Astacolus,15.9,1,1
(blank),(blank),Astarte,2.588,0,0
(blank),(blank),Asterigerina,3.6,1,0
(blank),(blank),Asterigerinata,2.588,1,0
(blank),(blank),Asteromphalus,11.62,0,0
(blank),(blank),Asterorotalia,3.6,1,0
(blank),(blank),Astrea,13.82,0,0
(blank),(blank),Astrononion,0.0117,1,0
(blank),(blank),Atrina,3.6,0,0
(blank),(blank),Attalea,15.97,1,1
(blank),(blank),Aubignyna,15.97,1,1
(blank),(blank),Austrofusus,11.608,0,0
(blank),(blank),Awateria,5.333,0,0
(blank),(blank),Baculogypsina,0.1279,1,0
(blank),(blank),Baculogypsinoides,0.781,1,0
(blank),(blank),Baggina,3.6,1,0
(blank),(blank),Barbatia,0.0117,0,0
(blank),(blank),Baryspira,3.6,0,0
(blank),(blank),Bathysiphon,15.9,0,0
(blank),(blank),Bathytoma,11.608,0,0
(blank),(blank),Batiacasphaera,13.82,0,0
(blank),(blank),Batrachosauroides,13.6,0,0
(blank),(blank),Beremendia,2.588,0,0
(blank),(blank),Biapertorbis,20.44,0,0
(blank),(blank),Biddulphia,5.333,0,0
(blank),(blank),Bigenerina,0.0117,1,0
(blank),(blank),Bignonoides,2.588,0,0
(blank),(blank),Biloculina,9.5,1,1
(blank),(blank),Bitubulogerina,15.97,0,0
(blank),(blank),Blarina,0.0117,1,0
(blank),(blank),Blarinoides,2.588,0,0
(blank),(blank),Bolinus,13.82,0,0
(blank),(blank),Bolivina,0.0117,1,0
(blank),(blank),Bolivinita,2.588,1,0
(blank),(blank),Bolivinopsis,11.62,0,0
(blank),(blank),Brachyodus,11.608,0,0
(blank),(blank),Brigantedinium,0.0117,0,0
(blank),(blank),Brizalina,0.0117,1,0
(blank),(blank),Buccella,0.0117,1,0
(blank),(blank),Bucella,0.0117,0,0
(blank),(blank),Buchnerina,15.97,1,1
(blank),(blank),Bulimina,0.0117,1,0
(blank),(blank),Buliminella,0.0117,1,0
(blank),(blank),Bursa,0.781,0,0
(blank),(blank),Busycon,0.0117,0,0
(blank),(blank),Caesalpinia,5.333,0,0
(blank),(blank),Calcarina,0.0117,1,0
(blank),(blank),Calcidiscus,3.6,1,0
(blank),(blank),Caligodinium,15.97,0,0
(blank),(blank),Calliostoma,0.0117,0,0
(blank),(blank),Caloosarca,0.126,0,0
(blank),(blank),Cancellaria,2.588,0,0
(blank),(blank),Cancris,1.9,1,0
(blank),(blank),Candeina,2.588,1,0
(blank),(blank),Caprovis,0.126,0,0
(blank),(blank),Capulus,0.781,0,0
(blank),(blank),Caritoma,11.608,0,0
(blank),(blank),Carpenteria,0.0117,1,0
(blank),(blank),Carpolithes,5.333,0,0
(blank),(blank),Cassia,2.588,0,0
(blank),(blank),Cassidulina,0.0117,1,0
(blank),(blank),Cassidulinoides,3.6,1,0
(blank),(blank),Cassigerinella,11.62,0,0
(blank),(blank),Cassigerinelloita,5.333,0,0
(blank),(blank),Catapsydrax,2.588,0,0
(blank),(blank),Caucasina,11.608,1,1
(blank),(blank),Cavilinga,0.0117,0,0
(blank),(blank),Ceratobulimina,5.333,1,1
(blank),(blank),Cetotherium,1.806,0,0
(blank),(blank),Chainodus,13.65,0,0
(blank),(blank),Chelotriton,13.65,0,0
(blank),(blank),Chicoreus,0.781,0,0
(blank),(blank),Chilina,2.588,1,0
(blank),(blank),Chilostomella,15.9,1,1
(blank),(blank),Chione,0.0117,0,0
(blank),(blank),Chlamys,0.0117,0,0
(blank),(blank),Chrysalidina,9.5,0,0
(blank),(blank),Cibicidella,2.588,1,0
(blank),(blank),Cibicides,0.0117,1,0
(blank),(blank),Cibicidina,11.608,1,1
(blank),(blank),Cibicidoides,0.0117,1,0
(blank),(blank),Cibicorbis,3.6,0,0
(blank),(blank),Cladogramma,3.6,0,0
(blank),(blank),Clavalithes,7.246,0,0
(blank),(blank),Clavicula,11.62,0,0
(blank),(blank),Clavulina,15.97,1,1
(blank),(blank),Clavulinoides,15.9,0,0
(blank),(blank),Comitas,5.333,0,0
(blank),(blank),Conorbella,15.97,1,1
(blank),(blank),Conus,5.333,0,0
(blank),(blank),Corbula,2.588,0,0
(blank),(blank),Coscinodiscus,2.588,0,0
(blank),(blank),Cosmiodiscus,3.6,0,0
(blank),(blank),Cosmotriphora,0.126,1,0
(blank),(blank),Craspedodiscus,11.62,0,0
(blank),(blank),Crassispira,2.588,0,0
(blank),(blank),Cribroelphidium,0.0117,1,0
(blank),(blank),Cribrogoesella,0.0117,1,0
(blank),(blank),Cribrononion,0.0117,0,0
(blank),(blank),Cristellaria,2.588,0,0
(blank),(blank),Crocidura,0.0117,1,0
(blank),(blank),Crommyodus,13.82,0,0
(blank),(blank),Crucibulum,0.0117,0,0
(blank),(blank),Cussia,11.62,0,0
(blank),(blank),Cyclammina,5.333,1,1
(blank),(blank),Cycloclypeus,5.333,1,1
(blank),(blank),Cyclopsiella,13.82,0,0
(blank),(blank),Cyclopteris,0.0117,0,0
(blank),(blank),Cyclotella,2.588,0,0
(blank),(blank),Cyclotomodon,5.333,0,0
(blank),(blank),Cylindroclavulina,1.806,1,0
(blank),(blank),Cymatiosphaera,20.44,0,0
(blank),(blank),Cymatogonia,11.62,0,0
(blank),(blank),Cymatosira,2.588,0,0
(blank),(blank),Cymbalopora,11.608,0,0
(blank),(blank),Cymbaloporetta,1.9,1,0
(blank),(blank),Cymodocea,5.333,0,0
(blank),(blank),Cypraea,0.0117,0,0
(blank),(blank),Cypricardia,0.0117,0,0
(blank),(blank),Cyrena,0.0117,1,0
(blank),(blank),Cyrtochetus,11.608,0,0
(blank),(blank),Dallarca,5.333,0,0
(blank),(blank),Darbyella,5.333,0,0
(blank),(blank),Deflandrea,15.97,0,0
(blank),(blank),Deinsdorfia,2.588,0,0
(blank),(blank),Delphineis,2.588,0,0
(blank),(blank),Dentalina,0.0117,1,0
(blank),(blank),Dentoglobigerina,2.588,0,0
(blank),(blank),Dermomurex,3.6,0,0
(blank),(blank),Dicladia,11.62,0,0
(blank),(blank),Dictyococcites,7.246,1,1
(blank),(blank),Dictyoconus,15.97,0,0
(blank),(blank),Didelphis,0.0117,1,0
(blank),(blank),Dimylus,20,0,0
(blank),(blank),Dinosorex,11.62,0,0
(blank),(blank),Diploneis,11.62,0,0
(blank),(blank),Discocyclina,2.588,0,0
(blank),(blank),Discorbinella,3.6,1,0
(blank),(blank),Discorbis,0.0117,1,0
(blank),(blank),Discorotalia,15.9,0,0
(blank),(blank),Divaricella,0.0117,0,0
(blank),(blank),Doedicurus,6.8,0,0
(blank),(blank),Donax,2.588,0,0
(blank),(blank),Dorothia,0.781,0,0
(blank),(blank),Dossetia,11.62,0,0
(blank),(blank),Dyocibicides,0.0117,1,0
(blank),(blank),Eggerella,5.333,1,1
(blank),(blank),Ehrenbergina,5.333,1,1
(blank),(blank),Elegidion,5.333,0,0
(blank),(blank),Elmira,15.97,0,0
(blank),(blank),Elomeryx,15.97,0,0
(blank),(blank),Elphidiella,0.0117,1,0
(blank),(blank),Elphidium,0.0117,1,0
(blank),(blank),Emarginula,0.0117,0,0
(blank),(blank),Endictya,11.62,0,0
(blank),(blank),Engraulis,1.806,1,0
(blank),(blank),Entalis,11.608,0,0
(blank),(blank),Entalophora,5.333,0,0
(blank),(blank),Entodesma,2.588,1,0
(blank),(blank),Entosolenia,0.0117,1,0
(blank),(blank),Eoeponidella,15.97,1,1
(blank),(blank),Ephedra,15.97,1,1
(blank),(blank),Epistominella,1.9,1,0
(blank),(blank),Epitonium,2.588,0,0
(blank),(blank),Eponides,0.0117,1,0
(blank),(blank),Erinaceus,2.588,1,0
(blank),(blank),Erosaria,0.781,0,0
(blank),(blank),Escornebovina,20.44,0,0
(blank),(blank),Etisodes,2.588,0,0
(blank),(blank),Eucrassatella,0.0117,0,0
(blank),(blank),Eugenia,5.333,0,0
(blank),(blank),Eulopia,2.588,0,0
(blank),(blank),Eurytellina,0.0117,0,0
(blank),(blank),Euspira,0.0117,0,0
(blank),(blank),Evotomys,1.806,0,0
(blank),(blank),Ficus,2.588,0,0
(blank),(blank),Fissurina,3.5,1,0
(blank),(blank),Florilus,0.781,0,0
(blank),(blank),Frondicularia,11.608,1,1
(blank),(blank),Fuegotrophon,5.333,0,0
(blank),(blank),Fuligula,2.588,0,0
(blank),(blank),Fursenkoina,0.781,1,0
(blank),(blank),Galeodes,5.333,1,1
(blank),(blank),Galerix,15.97,0,0
(blank),(blank),Gaudryina,2.588,1,0
(blank),(blank),Gaudryinopsis,20.44,0,0
(blank),(blank),Gavelinopsis,0.0117,1,0
(blank),(blank),Glabratella,5.333,1,1
(blank),(blank),Glandulina,3.6,1,0
(blank),(blank),Globigerina,0.0117,1,0
(blank),(blank),Globigerinella,1.9,1,0
(blank),(blank),Globigerinita,0.781,1,0
(blank),(blank),Globigerinoides,0.0117,1,0
(blank),(blank),Globobulimina,0.781,1,0
(blank),(blank),Globocassidulina,2.588,1,0
(blank),(blank),Globoconella,5.333,0,0
(blank),(blank),Globoquadrina,2.588,0,0
(blank),(blank),Globorotalia,0.0117,1,0
(blank),(blank),Globoturborotalita,0.781,1,0
(blank),(blank),Globulina,0.0117,1,0
(blank),(blank),Glycymeris,0.0117,0,0
(blank),(blank),Glycymerula,0.126,0,0
(blank),(blank),Glyptanatica,12.4,0,0
(blank),(blank),Goeppertia,2.588,0,0
(blank),(blank),Goesella,3.6,1,0
(blank),(blank),Goniobasis,13.6,0,0
(blank),(blank),Goniothecium,11.62,0,0
(blank),(blank),Graptocythere,11.62,0,0
(blank),(blank),Grigelis,20.44,1,1
(blank),(blank),Gurabopecten,3.6,0,0
(blank),(blank),Guttulina,2.588,1,0
(blank),(blank),Gypsina,0.0117,1,0
(blank),(blank),Gyroidina,1.9,1,0
(blank),(blank),Gyroidinoides,2.588,1,0
(blank),(blank),Haddonia,3.6,1,0
(blank),(blank),Haeuslerella,3.6,0,0
(blank),(blank),Hanzawaia,0.0117,1,0
(blank),(blank),Haplophragmoides,11.608,1,1
(blank),(blank),Hastigerina,3.6,1,0
(blank),(blank),Hastula,5.333,0,0
(blank),(blank),Haustator,2.588,0,0
