PROV_CODE,RLM_CODE,Mean_Halpern_Realm,Mean_Halpern_Province,Mean_Halpern_Hybrid,Mean_Burrows_Realm,Mean_Burrows_Province,Mean_Burrows_Hybrid
1,1,5.94622587,5.94622587,5.94622587,3.347600678,3.347600678,3.347600678
2,2,10.0367041,10.00809783,10.00809783,2.419287456,3.256959899,3.256959899
3,2,10.0367041,10.35440598,10.35440598,2.419287456,3.612032439,3.612032439
4,2,10.0367041,11.07681221,11.07681221,2.419287456,3.786056363,3.786056363
5,2,10.0367041,10.04151995,10.04151995,2.419287456,3.10646282,3.10646282
6,2,10.0367041,9.453203201,9.453203201,2.419287456,0.850577615,0.850577615
7,2,10.0367041,NA,NA,2.419287456,-0.096364398,-0.096364398
8,3,7.734844107,7.833421565,7.833421565,3.401645879,3.386994741,3.386994741
9,3,7.734844107,10.804391,10.804391,3.401645879,3.656962419,3.656962419
10,3,7.734844107,7.280852407,7.280852407,3.401645879,2.745309225,2.745309225
11,3,7.734844107,8.174593925,8.174593925,3.401645879,3.81731713,3.81731713
12,4,8.600708925,9.908995104,8.585718015,3.941471417,2.125091212,4.044667429
13,4,8.600708925,9.185958968,8.585718015,3.941471417,5.150019226,4.044667429
14,4,8.600708925,6.662199974,8.585718015,3.941471417,4.858891848,4.044667429
15,4,8.600708925,6.901717118,6.901717118,3.941471417,3.717909711,3.717909711
16,4,8.600708925,10.4230001,10.4230001,3.941471417,3.342798416,3.342798416
17,4,8.600708925,8.253595114,8.253595114,3.941471417,4.454118088,4.454118088
18,5,8.448062062,8.958552255,8.448062062,4.672610366,3.971485959,4.672610366
19,5,8.448062062,9.244911003,8.448062062,4.672610366,3.859597282,4.672610366
20,5,8.448062062,7.402284932,8.448062062,4.672610366,4.398078761,4.672610366
21,5,8.448062062,9.336539984,8.448062062,4.672610366,4.527757785,4.672610366
22,5,8.448062062,9.228009905,8.448062062,4.672610366,5.713772366,4.672610366
23,5,8.448062062,8.842592299,8.448062062,4.672610366,4.611820331,4.672610366
24,5,8.448062062,8.186254229,8.448062062,4.672610366,5.625760075,4.672610366
25,6,8.447055976,10.16346012,8.447055976,4.216988765,4.127361606,4.216988765
26,6,8.447055976,8.581304979,8.447055976,4.216988765,5.21539935,4.216988765
27,6,8.447055976,6.63475711,8.447055976,4.216988765,4.40794343,4.216988765
28,6,8.447055976,10.16737995,8.447055976,4.216988765,3.965939944,4.216988765
29,6,8.447055976,9.183678376,8.447055976,4.216988765,4.671381321,4.216988765
30,6,8.447055976,7.382843402,8.447055976,4.216988765,5.551320496,4.216988765
31,6,8.447055976,8.528855944,8.447055976,4.216988765,4.983822293,4.216988765
32,6,8.447055976,5.509597421,8.447055976,4.216988765,4.50609571,4.216988765
33,6,8.447055976,6.528877926,8.447055976,4.216988765,3.63741965,4.216988765
34,6,8.447055976,5.664919853,8.447055976,4.216988765,3.870293518,4.216988765
35,6,8.447055976,8.204388895,8.447055976,4.216988765,3.199703034,4.216988765
36,6,8.447055976,6.233769894,8.447055976,4.216988765,2.467184829,4.216988765
37,7,7.279414603,7.875918995,7.279414603,2.84794781,-0.094649262,2.84794781
38,7,7.279414603,9.151807819,7.279414603,2.84794781,3.3501588,2.84794781
39,7,7.279414603,6.47572455,7.279414603,2.84794781,3.61942595,2.84794781
40,7,7.279414603,6.607815215,7.279414603,2.84794781,3.592443791,2.84794781
41,7,7.279414603,4.309739947,7.279414603,2.84794781,4.818439499,2.84794781
42,7,7.279414603,5.81329,7.279414603,2.84794781,1.801868086,2.84794781
43,8,7.010652497,7.442692144,7.442692144,3.332321743,3.628226676,3.628226676
44,8,7.010652497,4.639989913,4.639989913,3.332321743,3.03641681,3.03641681
45,9,6.37031792,5.894977951,5.894977951,1.971192989,3.490173343,3.490173343
46,9,6.37031792,5.814818382,5.814818382,1.971192989,2.249517248,2.249517248
47,9,6.37031792,8.608057499,8.608057499,1.971192989,2.505051029,2.505051029
48,9,6.37031792,6.331824164,6.331824164,1.971192989,1.476915727,1.476915727
49,9,6.37031792,5.212211943,5.212211943,1.971192989,0.134307597,0.134307597
50,10,7.845944023,8.701928139,8.727621078,1.674950091,-1.644131959,1.093804196
51,10,7.845944023,8.753314018,8.727621078,1.674950091,3.831740352,1.093804196
52,10,7.845944023,4.471795082,4.471795082,1.674950091,2.837241881,2.837241881
53,11,7.329331253,7.681756576,7.681756576,2.488240726,1.500989387,1.500989387
54,11,7.329331253,6.36716141,6.36716141,2.488240726,0.330193808,0.330193808
55,11,7.329331253,8.113943958,8.113943958,2.488240726,3.666976896,3.666976896
56,11,7.329331253,8.022383372,8.022383372,2.488240726,3.069621856,3.069621856
57,11,7.329331253,8.351614203,8.351614203,2.488240726,2.67512688,2.67512688
58,11,7.329331253,6.538184881,6.538184881,2.488240726,3.686535531,3.686535531
59,12,4.916767542,5.567801896,5.567801896,-0.349574759,0.6989978,0.6989978
60,12,4.916767542,3.843234582,3.843234582,-0.349574759,0.059126619,0.059126619
61,12,4.916767542,4.456135233,4.456135233,-0.349574759,-0.705744666,-0.705744666
62,12,4.916767542,4.784565091,4.784565091,-0.349574759,-1.45067879,-1.45067879
