genus,total_occurrences
?Gymnura,1
?Raja,2
(bathy?)raja,1
Abatus,242
Abditodentrix,158
Abra,16352
Abrina,22
Abyssochrysos,3
Abyssotherma,2
Abyssotrophon,3
Acanthacaris,130
Acanthastrea,536
Acanthilia,22
Acanthina,80
Acanthocardia,1540
Acanthocarpus,280
Acanthocidaris,22
Acanthocyclus,3
Acanthodoris,566
Acanthodromia,1
Acantholobulus,68
Acanthonyx,60
Acanthophrys,12
Acanthotrophon,5
Acar,94
Acervulina,5
Acesta,349
Aceste,67
Achaeopsis,118
Achaeus,209
Acharax,44
Achelous,5
Acidops,2
Acila,228
Acinodrillia,17
Acinopsis,8
Acirsa,20
Acliceratia,1
Aclis,176
Aclistothyra,13
Aclophora,7
Acmaea,625
Acmaeopleura,15
Acmaturris,2
Acmella,9
Acorylus,32
Acremodontina,1
Acreuciroa,6
Acrilla,17
Acrilloscala,2
Acrophaedusa,1
Acropora,31358
Acrosterigma,545
Actaea,256
Actaeocina,1
Actaeodes,21
Actaeomorpha,59
Actinoleuca,6
Actinotrophon,11
Actumnus,226
Aculeola,25
Adacnarca,207
Adalaria,75
Adamanense,1
Adamussium,198
Addisonia,7
Adelomelon,51
Adelosina,11
Adelphotectonica,71
Adercotryma,791
Adipicola,147
Admete,212
Admetula,3
Adontorhina,123
Adrana,162
Adula,2
Adusta,3
Aegires,107
Aeneator,128
Aeolidia,423
Aeolidiella,124
Aepinus,30
Aequipecten,4643
Aeropsis,54
Aesopus,49
Aethra,2
Aetobatis,20
Aetobatus,1419
Aetomylaeus,52
Aetoplatea,15
Aforia,160
Africotriton,17
Afriscrobs,9
Afritrophon,22
Afrivoluta,15
Afrocardium,86
Afrocominella,57
Afrogyrus,1
Afrolittorina,145
Afropinnotheres,2
Agagus,67
Agaricia,4642
Agaronia,40
Agassizia,86
Agathotoma,43
Agatrix,10
Agglutinella,32
Agladrillia,34
Agnewia,1
Agriopoma,74
Akera,176
Akibumia,1
Alaba,592
Alabamina,1407
Alabaminella,851
Alabaminoides,3
Alabina,11
Alaginella,73
Alain,3
Alainodaeus,88
Alarconia,1
Alcira,17
Alcithoe,216
Alderia,86
Alderiopsis,1
Aldisa,24
Alertalex,12
Alexania,4
Alfredosilvestris,8
Alginella,12
Aliceia,2
Aligena,318
Aliger,22
Alipta,3
Allactaea,36
Allenella,47
Allenoconcha,116
Alliatina,62
Alliatinella,2
Allocentrotus,2056
Allochroa,69
Allograea,1
Allogramma,1
Allogromia,24
Allomorphina,184
Allomorphinella,12
Alocospira,12
Aloidis,14
Alopecias,1
Alopias,2822
Alox,16
Altenaeum,8
Alterammina,11
Altrix,4
Alvania,2402
Alveolina,50
Alveolophragmium,91
Alveophragmium,1
Alveopora,183
Alvinia,3
Alviniconcha,79
Amaea,103
Amalda,406
Amalthea,10
Amathina,8
Amauropsis,139
Amblychilepas,205
Amblyraja,89210
Ameghinomya,3
Amiantis,19
Ammoastuta,86
Ammobaculites,726
Ammodiscoides,12
Ammodiscus,1533
Ammoflintina,3
Ammoglobigerina,93
Ammolagena,211
Ammomarginulina,189
Ammomassilina,10
Ammonia,1219
Ammonicera,55
Ammopemphix,1
Ammoscalaria,429
Ammosphaeroidina,163
Ammotium,254
Ammovertellina,14
Amnicola,60
Amoria,596
Amphibola,49
Amphicoryna,326
Amphilepida,10
Amphiplica,11
Amphipneustes,209
Amphisorus,23
Amphissa,382
Amphistegina,135
Amphithalamus,43
Amphitrite,3
Amphotistius,3
Amusium,1549
Amygdalum,642
Anacanthobatis,205
Anachis,1992
Anacinetops,1
Anacithara,14
Anadara,1920
Anadonatia,1
Anamathia,4
Anametalia,2
Anamolocardia,1
Anarithma,22
Anasimus,238
Anatina,38
Anatoma,336
Ancilla,293
Ancillaria,1
Ancillista,79
Ancistrobasis,51
Ancistrolepis,8
Ancistrosyrinx,2
Ancula,71
Anculosa,1
Ancylodactyla,64
Androsina,4
Anekes,10
Angaria,110
Angiola,26
Anguipecten,38
Angulogerina,601
Angulus,1683
Anidolyta,1
Anisocorbula,138
Anisodoris,27
Annachlamys,567
Annulobalcis,13
Anodontia,244
Anomacme,6
Anomalina,850
Anomalinella,1
Anomalinoides,4546
Anomalocardia,275
Anomalothir,19
Anomia,3750
Anomocora,154
Anopsia,1
Anoxypristis,46
Ansates,12
Antarctodomus,11
Antarctoneptunea,49
Anthemiphyllia,287
Anticlimax,36
Anticlinura,1
Antigona,329
Antiguraleus,61
Antilibinia,13
Antillophos,217
Antimargarita,45
Antimelatoma,2
Antimitrella,8
Antiplanes,13
Antisabia,154
Antisolarium,9
Antistreptus,21
Antrechinus,46
Antrocarcinus,28
Antroselates,1
Anxietas,2
Aorotrema,7
Aperiovula,5
Aphanophora,2
Aphaostracon,8
Aphelaster,2
Aphelodoris,19
Apiomithrax,7
Apispiralia,5
Apisturus,1
Aplustrum,1
Aplysia,1602
Aplysiopsis,5
Apocremnus,2
Apollon,13
Apolymetis,11
Aporocidaris,103
Aporrhais,1432
Apristurum,2
Apristurus,1364
Aptychotrema,326
Arabica,6
Arachnoides,13
Arachnopsis,32
Araeolampas,16
Araeosoma,404
Aratus,147
Arbacia,1088
Arca,2680
Arcania,1062
Archaias,12
Archidoris,1340
Archimediella,10
Archimerismus,35
Archiminolia,5
Architectonica,378
Archivesica,6
Arcinella,130
Arcopagia,306
Arcopaginula,7
Arcopella,3
Arcopsis,143
Arctica,6109
Arctocephalus,28849
Arctomelon,21
Arcturellina,18
Arcuatula,38
Arculus,12
Ardeadoris,3
Arenaeus,1231
Arene,372
Arenobulimina,322
Arenoparrella,140
Arestorides,1
Argillotuba,2
Argobuccinum,51
Argopatagus,6
Argopecten,1680
Argyrodonax,2
Argyropeza,30
Arhynchobatidae,15
Arhynchobatis,64
Ariolimax,3
Arion,25
Armases,82
Armina,122
Armorella,10
Aroapyrgus,22
Arthritica,9
Articulina,212
Asanonella,2
Asaphis,123
Ascidiophilus,1
Ascobulla,35
Ashtoret,47
Aslintesta,12
Aspella,136
Asperarca,35
Asperdaphne,8
Asperiscala,10
Aspidodiadema,145
Assiminea,243
Astacolus,959
Astacus,2
Astarte,9013
Astele,30
Asterigerina,44
Asterigerinata,52
Asteronotus,5
Asterophila,12
Asterorotalia,224
Asterosmilia,166
Asthelys,5
Asthenognathus,60
Asthenosoma,172
Asthenothaerus,259
Astraea,244
Astralium,292
Astrammina,45
Astrangia,910
Astreopora,1804
Astriclypeus,7
Astroides,13
Astrononion,3186
Astropyga,85
Astrorhiza,77
Astyris,584
Asymbolus,432
Atactodea,18
Atagema,3
Ataxocerithium,7
Atelecyclus,580
Atelomycterus,71
Atergatis,51
Atergatopsis,4
Athleta,28
Atlanta,1456
Atlantiella,132
Atlantoraja,657
Atlantotlos,1
Atrina,469
Attiliosa,38
Aubignyna,71
Aulacolambrus,4
Aulacomya,153
Aulicina,17
Aulohalaelurus,8
Auriculinella,147
Austinixa,25
Austinograea,45
Austraeolis,7
Australocarcinus,1
Australomussa,19
Austrochloritis,552
Austrocidaris,96
Austroclavus,1
Austrocochlea,74
Austrocypraea,7
Austrodoris,43
Austrodrillia,4
Austrodromidia,2
Austrofusus,320
Austroginella,152
Austroharpa,2
Austrolibinia,36
Austrolittorina,12
Austromitra,88
Austropeplea,312
Austropotamobius,39
Austrorhytida,681
Austrovenus,247
Avicula,2
Axelella,11
Axinodon,31
Axinopsida,688
Axinopsis,7
Axinulus,730
Axinus,7
Azorinus,86
Azumamorula,2
Babaina,1
Babelomurex,203
Babieriella,1
Babylonia,72
Bacils,2
Bacteridium,47
Bactrocythara,10
Bactronophorus,5
Baculella,1
Baggina,22
Bailya,31
Balaena,6
Balaenidae,5
Balaenoptera,93408
Balaenopteridae,884
Balanetta,1
Balanocochlis,1
Balanophyllia,1494
Balcis,102
Balfouria,3
Banareia,12
Bankia,139
Bankina,1
Bankivia,193
Banzarecolpus,8
Baptodoris,2
Baptozius,1
Barabattoia,85
Barbatia,1056
Barbatiella,1
Barbita,1
Barleeia,254
Barnardromia,1
Barndoor,1
Barnea,673
Barrimysia,1
Bartschia,3
Baryspira,123
Barytelphusa,3
Basilissa,6
Basilissopsis,5
Bassina,94
Basterotia,48
Batheulima,3
Bathyacmaea,360
Bathyarca,1367
Bathyaustriella,3
Bathybela,11
Bathybembix,20
Bathyberthella,19
Bathycrinicola,9
Bathycyathus,15
Bathydomus,9
Bathydoris,40
Bathyfautor,11
Bathymargarites,57
Bathymodiolus,1827
Bathyneaera,33
Bathynectes,295
Bathynerita,9
Bathyneritia,1
Bathypilumnus,147
Bathyplax,114
Bathypluma,15
Bathypsammia,103
Bathyraja,10028
Bathysciadium,1
Bathysiphon,995
Bathyspinula,2
Bathytoma,89
Bathytormus,1
Bathyxylophila,1
Batillaria,55
Batissa,3
Batodaeus,10
Batoidea,8086
Batoidii,232
Batrachonotus,64
Bayardella,63
Bayerius,15
Bayerotrochus,12
Bdelloidina,22
Bedeva,41
Beella,1413
Beguina,14
Begunica,1
Bela,92
Belalora,22
Belaturricula,98
Belgrandiella,1
Bellamya,11
Bellascintilla,1
Bellaspira,30
Belloliva,125
Bellucina,1
Belomitra,49
Bembicium,291
Bentharca,139
Benthobatis,109
Benthobia,15
Benthocardiella,2
Benthochascon,50
Benthoclionella,3
Benthodolium,8
Benthofascis,20
Benthomangelia,257
Benthomodiolus,5
Benthonella,122
Benthonellania,41
Benthoquetia,4
Berardius,151
Berggrenia,99
Berghia,7
Beringius,65
Bermudaclis,22
Bernaya,4
Berthelinia,6
Berthella,248
Berthellina,34
Besla,2
Beuroisia,1
Bezoardicella,1
Biarritzina,6
Bifarilaminella,135
Bifarina,67
Bigenerina,497
Biloculina,133
Biloculinella,216
Bimonilina,6
Biplex,121
Birgella,1
Bisaccium,2
Bistolida,31
Bithynia,117
Bittiolum,145
Bittium,1870
Bivetiella,1
Blasicrura,69
Blastomussa,40
Blauneria,8
Blysmasphaera,1
Boderia,1
Bolinus,55
Bolivina,15855
Bolivinellina,40
Bolivinita,767
Bolivinoides,502
Bolivinopsis,744
Bolma,248
Bombulina,4
Bonellitia,14
Boonea,188
Borelis,5
Boreocingula,52
Boreoscala,12
Boreotrophon,188
Bornella,31
Bornia,12
Borsonella,1
Borsonia,9
Bosellia,9
Bostrycapulus,28
Botellina,3
Bothromaia,2
Bothropoma,6
Botula,95
Boucardicus,66
Bouchetia,1
Bouchetriphora,12
Bourneotrochus,93
Brachaelurus,62
Brachidontes,355
Brachiomya,1
Brachycythara,97
Brachynotus,27
