Class,Group,Genus
Anthozoa,Anthozoa_Acroporidae,Acropora
Anthozoa,Anthozoa_Acroporidae,Astreopora
Anthozoa,Anthozoa_Acroporidae,Bacarella
Anthozoa,Anthozoa_Acroporidae,Dendracis
Anthozoa,Anthozoa_Acroporidae,Isopora
Anthozoa,Anthozoa_Acroporidae,Montipora
Anthozoa,Anthozoa_az,Acropsammia
Anthozoa,Anthozoa_az,Acrosmilia
Anthozoa,Anthozoa_az,Agaricia
Anthozoa,Anthozoa_az,Agathelia
Anthozoa,Anthozoa_az,Alatotrochus
Anthozoa,Anthozoa_az,Aldrichiella
Anthozoa,Anthozoa_az,Anomocora
Anthozoa,Anthozoa_az,Antillocyathus
Anthozoa,Anthozoa_az,Antilloseris
Anthozoa,Anthozoa_az,Aplocyathus
Anthozoa,Anthozoa_az,Archohelia
Anthozoa,Anthozoa_az,Asterosmilia
Anthozoa,Anthozoa_az,Astrangia
Anthozoa,Anthozoa_az,Astrhelia
Anthozoa,Anthozoa_az,Astroides
Anthozoa,Anthozoa_az,Aulosmilia
Anthozoa,Anthozoa_az,Balanophyllia
Anthozoa,Anthozoa_az,Bathangia
Anthozoa,Anthozoa_az,Bathycyathus
Anthozoa,Anthozoa_az,Bothrophoria
Anthozoa,Anthozoa_az,Bourneotrochus
Anthozoa,Anthozoa_az,Brachiatusmilia
Anthozoa,Anthozoa_az,Cahuzacopsammia
Anthozoa,Anthozoa_az,Calamophyllia
Anthozoa,Anthozoa_az,Caryophyllia
Anthozoa,Anthozoa_az,Caryosmilia
Anthozoa,Anthozoa_az,Ceratotrochus
Anthozoa,Anthozoa_az,Ceriosmilia
Anthozoa,Anthozoa_az,Cladangia
Anthozoa,Anthozoa_az,Clonosmilia
Anthozoa,Anthozoa_az,Coeloseris
Anthozoa,Anthozoa_az,Coelosmilia
Anthozoa,Anthozoa_az,Coenocyathus
Anthozoa,Anthozoa_az,Conocyathus
Anthozoa,Anthozoa_az,Conosmilia
Anthozoa,Anthozoa_az,Conotrochus
Anthozoa,Anthozoa_az,Crispatotrochus
Anthozoa,Anthozoa_az,Cryptangia
Anthozoa,Anthozoa_az,Culicia
Anthozoa,Anthozoa_az,Cunnolites
Anthozoa,Anthozoa_az,Cyathelia
Anthozoa,Anthozoa_az,Cyathoceras
Anthozoa,Anthozoa_az,Cyathoseris
Anthozoa,Anthozoa_az,Cyathosmilia
Anthozoa,Anthozoa_az,Cyathotrochus
Anthozoa,Anthozoa_az,Cyclolites
Anthozoa,Anthozoa_az,Cycloseris
Anthozoa,Anthozoa_az,Dasmia
Anthozoa,Anthozoa_az,Dasmosmilia
Anthozoa,Anthozoa_az,Deltocyathus
Anthozoa,Anthozoa_az,Dendrogyra
Anthozoa,Anthozoa_az,Dendrophyllia
Anthozoa,Anthozoa_az,Desmophyllum
Anthozoa,Anthozoa_az,Diaseris
Anthozoa,Anthozoa_az,Diplhelia
Anthozoa,Anthozoa_az,Diploctenium
Anthozoa,Anthozoa_az,Discoidocyathus
Anthozoa,Anthozoa_az,Discotrochus
Anthozoa,Anthozoa_az,Duncanopsammia
Anthozoa,Anthozoa_az,Enallopsammia
Anthozoa,Anthozoa_az,Endopachys
Anthozoa,Anthozoa_az,Faksephyllia
Anthozoa,Anthozoa_az,Flabellum
Anthozoa,Anthozoa_az,Foveolocyathus
Anthozoa,Anthozoa_az,Fungiacyathus
Anthozoa,Anthozoa_az,Funginellastrea
Anthozoa,Anthozoa_az,Galaxea
Anthozoa,Anthozoa_az,Gardineria
Anthozoa,Anthozoa_az,Gardineroseris
Anthozoa,Anthozoa_az,Goniocorella
Anthozoa,Anthozoa_az,Guynia
Anthozoa,Anthozoa_az,Haimesiastraea
Anthozoa,Anthozoa_az,Heterocyathus
Anthozoa,Anthozoa_az,Heterogyra
Anthozoa,Anthozoa_az,Heteropsammia
Anthozoa,Anthozoa_az,Holcotrochus
Anthozoa,Anthozoa_az,Hydnophorabacia
Anthozoa,Anthozoa_az,Idiotrochus
Anthozoa,Anthozoa_az,Ilariosmilia
Anthozoa,Anthozoa_az,Javania
Anthozoa,Anthozoa_az,Javanopora
Anthozoa,Anthozoa_az,Lamellophyllia
Anthozoa,Anthozoa_az,Leptocyathus
Anthozoa,Anthozoa_az,Leptophyllia
Anthozoa,Anthozoa_az,Leptopsammia
Anthozoa,Anthozoa_az,Leptoseris
Anthozoa,Anthozoa_az,Letepsammia
Anthozoa,Anthozoa_az,Lobopsammia
Anthozoa,Anthozoa_az,Lophelia
Anthozoa,Anthozoa_az,Madrepora
Anthozoa,Anthozoa_az,Makridinophyllia
Anthozoa,Anthozoa_az,Mareastraea
Anthozoa,Anthozoa_az,Meandrina
Anthozoa,Anthozoa_az,Mesomorpha
Anthozoa,Anthozoa_az,Miophora
Anthozoa,Anthozoa_az,Mioseris
Anthozoa,Anthozoa_az,Nicaeotrochus
Anthozoa,Anthozoa_az,Notocyathus
Anthozoa,Anthozoa_az,Notophyllia
Anthozoa,Anthozoa_az,Oculina
Anthozoa,Anthozoa_az,Odontocyathoides
Anthozoa,Anthozoa_az,Oulangia
Anthozoa,Anthozoa_az,Oxysmilia
Anthozoa,Anthozoa_az,Pachygyra
Anthozoa,Anthozoa_az,Pachyseris
Anthozoa,Anthozoa_az,Palaeopsammia
Anthozoa,Anthozoa_az,Paleoastroides
Anthozoa,Anthozoa_az,Paracyathus
Anthozoa,Anthozoa_az,Paracycloseris
Anthozoa,Anthozoa_az,Parasmilia
Anthozoa,Anthozoa_az,Paratrochocyathus
Anthozoa,Anthozoa_az,Pattalophyllia
Anthozoa,Anthozoa_az,Pavona
Anthozoa,Anthozoa_az,Peponocyathus
Anthozoa,Anthozoa_az,Petrophyllia
Anthozoa,Anthozoa_az,Phyllangia
Anthozoa,Anthozoa_az,Placophyllia
Anthozoa,Anthozoa_az,Placotrochus
Anthozoa,Anthozoa_az,Platyhelia
Anthozoa,Anthozoa_az,Platytrochus
Anthozoa,Anthozoa_az,Pleurocyathus
Anthozoa,Anthozoa_az,Pleuropodia
Anthozoa,Anthozoa_az,Pocillopora
Anthozoa,Anthozoa_az,Polycyathus
Anthozoa,Anthozoa_az,Pourtalocyathus
Anthozoa,Anthozoa_az,Progonopora
Anthozoa,Anthozoa_az,Rhizangia
Anthozoa,Anthozoa_az,Rhizotrochus
Anthozoa,Anthozoa_az,Schizoculina
Anthozoa,Anthozoa_az,Schizocyathus
Anthozoa,Anthozoa_az,Sclerhelia
Anthozoa,Anthozoa_az,Septastrea
Anthozoa,Anthozoa_az,Seriatopora
Anthozoa,Anthozoa_az,Sinuosiphyllia
Anthozoa,Anthozoa_az,Smilotrochus
Anthozoa,Anthozoa_az,Sphenotrochus
Anthozoa,Anthozoa_az,Spongiopsammia
Anthozoa,Anthozoa_az,Stenocyathus
Anthozoa,Anthozoa_az,Stephanocyathus
Anthozoa,Anthozoa_az,Stephanophyllia
Anthozoa,Anthozoa_az,Stephanoseris
Anthozoa,Anthozoa_az,Stephanosmilia
Anthozoa,Anthozoa_az,Stylophora
Anthozoa,Anthozoa_az,Symbiangia
Anthozoa,Anthozoa_az,Tethocyathus
Anthozoa,Anthozoa_az,Thecopsammia
Anthozoa,Anthozoa_az,Trematotrochus
Anthozoa,Anthozoa_az,Trochocyathus
Anthozoa,Anthozoa_az,Trochoseris
Anthozoa,Anthozoa_az,Tropidocyathus
Anthozoa,Anthozoa_az,Truncatoflabellum
Anthozoa,Anthozoa_az,Tubastraea
Anthozoa,Anthozoa_az,Tubicora
Anthozoa,Anthozoa_az,Turbinaria
Anthozoa,Anthozoa_az,Turbinolia
Anthozoa,Anthozoa_az,Turbinoseris
Anthozoa,Anthozoa_az,Undaria
Anthozoa,Anthozoa_az,Vaughanella
Anthozoa,Anthozoa_az,Vielicyathus
Anthozoa,Anthozoa_az,Wellsotrochus
Anthozoa,Anthozoa_Faviidae,Agathiphyllia
Anthozoa,Anthozoa_Faviidae,Anisocoenia
Anthozoa,Anthozoa_Faviidae,Antiguastrea
Anthozoa,Anthozoa_Faviidae,Antillophyllia
Anthozoa,Anthozoa_Faviidae,Aquitanastraea
Anthozoa,Anthozoa_Faviidae,Barabattoia
Anthozoa,Anthozoa_Faviidae,Caulastrea
Anthozoa,Anthozoa_Faviidae,Ceratophyllia
Anthozoa,Anthozoa_Faviidae,Cladocora
Anthozoa,Anthozoa_Faviidae,Colpophyllia
Anthozoa,Anthozoa_Faviidae,Cyphastrea
Anthozoa,Anthozoa_Faviidae,Defrancia
Anthozoa,Anthozoa_Faviidae,Desmocladia
Anthozoa,Anthozoa_Faviidae,Dictuophyllia
Anthozoa,Anthozoa_Faviidae,Dictyoastraea
Anthozoa,Anthozoa_Faviidae,Diploastrea
Anthozoa,Anthozoa_Faviidae,Diploria
Anthozoa,Anthozoa_Faviidae,Echinopora
Anthozoa,Anthozoa_Faviidae,Ellasmoastraea
Anthozoa,Anthozoa_Faviidae,Favia
Anthozoa,Anthozoa_Faviidae,Favites
Anthozoa,Anthozoa_Faviidae,Goniastrea
Anthozoa,Anthozoa_Faviidae,Hadrophyllia
Anthozoa,Anthozoa_Faviidae,Hydnophora
Anthozoa,Anthozoa_Faviidae,Hydnophyllia
Anthozoa,Anthozoa_Faviidae,Indosmilia
Anthozoa,Anthozoa_Faviidae,Laterophyllia
Anthozoa,Anthozoa_Faviidae,Leptastrea
Anthozoa,Anthozoa_Faviidae,Leptoria
Anthozoa,Anthozoa_Faviidae,Manicina
Anthozoa,Anthozoa_Faviidae,Montastrea
Anthozoa,Anthozoa_Faviidae,Monticulastraea
Anthozoa,Anthozoa_Faviidae,Multicolumnastraea
Anthozoa,Anthozoa_Faviidae,Orbicella
Anthozoa,Anthozoa_Faviidae,Oulastrea
Anthozoa,Anthozoa_Faviidae,Oulophyllia
Anthozoa,Anthozoa_Faviidae,Parasimplastrea
Anthozoa,Anthozoa_Faviidae,Petrophylliella
Anthozoa,Anthozoa_Faviidae,Phacellocoenia
Anthozoa,Anthozoa_Faviidae,Platygyra
Anthozoa,Anthozoa_Faviidae,Plesiastrea
Anthozoa,Anthozoa_Faviidae,Pleurocora
Anthozoa,Anthozoa_Faviidae,Prionastraea
Anthozoa,Anthozoa_Faviidae,Solenastrea
Anthozoa,Anthozoa_Faviidae,Stylocora
