genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
,58.7,37.2,7,0,NaN
Aaptoryctes,61.7,55.8,3,1,0.5
Abadzekhia,33.9,28.1,1,0,NaN
Abderina,47.8,41.3,1,1,0.0159
Abderospira,41.3,33.9,14,6,0.0037
Abdounia,61.6,33.9,52,2,0.0248
Abdounodus,61.6,59.2,1,0,NaN
Abelia,59.2,41.3,2,0,NaN
Aberrokorynetes,47.8,41.3,1,1,0.0023
Abies,55.8,23.03,12,1,0.0058
Ablabesmyia,56,41.3,2,2,0.0026
Ablator,47.8,41.3,9,9,0.0021
Aboletylestes,59.2,56,5,0,NaN
Abra,55.8,23.03,89,71,0.003
Abraracourcix,56,47.8,1,1,0.0022
Absarokius,55.8,48.6,77,16,0.0202
Absonocytheropteron,38,33.9,3,0,NaN
Absyrtus,37.2,33.9,1,1,0.0004
Abuta,50.3,46.2,1,0,NaN
Acabaria,66,61.6,1,0,NaN
Acacia,47.8,23.03,4,0,NaN
Acaenitus,37.2,33.9,1,1,0.0037
Acalles,34,23.03,2,2,0.0063
Acallomyia,37.2,33.9,1,1,0.0037
Acalypha,48.6,37.2,1,1,0.0693
Acalyptus,37.2,33.9,1,1,0.0011
Acampsohelcon,47.8,41.3,1,1,0.025
Acamptogenotia,47.8,23.03,28,2,0.0063
Acanthastrea,28.1,23.03,1,0,NaN
Acanthina,28.4,23.03,1,0,NaN
Acanthionella,66,33.9,3,0,NaN
Acanthocardia,61.7,23.03,63,22,0.0089
Acanthocephalonotum,47.8,41.3,1,1,1
Acanthochaetetes,66,61.6,1,0,NaN
Acanthochermes,47.8,41.3,1,1,0.0006
Acanthocircus,66,61.6,11,6,0.004
Acanthocryptus,28.4,23.03,1,1,0.0009
Acanthocybium,55.8,50.3,1,0,NaN
Acanthocythereis,66,61.6,1,0,NaN
Acanthodesia,33.9,28.1,2,0,NaN
Acanthodiscus,66,56,37,15,0.0532
Acanthogalathea,56,33.9,3,0,NaN
Acantholambrus,41.3,38,1,0,NaN
Acanthomyites,50.3,46.2,1,1,0.1111
Acanthopanax,33.9,23.03,4,0,NaN
Acanthosoma,33.9,28.4,1,1,0.0189
Acanthus,38,33.9,1,0,NaN
Acar,66,23.03,30,8,0.0041
Acaranina,59.2,56,2,0,NaN
Acarictis,55.8,50.3,8,1,0.0145
Acarinina,59.2,41.3,27,0,NaN
Acartophthalmites,47.8,41.3,5,5,0.0042
Acassidites,47.8,41.3,1,1,0.0039
Acer,56.8,23.03,105,20,0.016
Acera,37.2,33.9,1,0,NaN
Aceratherium,28.4,23.03,3,0,NaN
Acericecis,33.9,28.4,1,1,1
Aceripollis,48.6,40.4,1,0,NaN
Acerotella,47.8,41.3,1,1,0.0013
Acervulina,59.2,33.9,9,0,NaN
Acesta,66,23.03,32,3,0.0121
Aceton,37.2,33.9,3,0,NaN
Acetonidea,37.2,33.9,1,0,NaN
Achaenodon,46.2,37.2,13,6,0.3061
Achalcus,47.8,41.3,1,1,0.0001
Acharax,41.3,23.03,11,0,NaN
Achatina,41.3,33.9,2,0,NaN
Achenium,28.1,23.03,1,1,0.006
Acheronodon,66,56.8,3,0,NaN
Acherontemys,38,33.9,1,1,0.0179
Acherontisuchus,61.7,58.7,4,3,0.1752
Acheta,37.2,23.03,2,2,0.0206
Achilleodinium,41.3,38,1,0,NaN
Achomosphaera,48.6,37.2,6,6,0.0061
Achorutes,47.8,41.3,1,0,NaN
Achrestocoris,37.2,33.9,1,1,0.0014
Achrochordiella,41.3,38,2,1,0.2
Acicularia,66,33.9,14,0,NaN
Acidomomys,56.8,55.8,1,0,NaN
Acila,66,23.03,180,11,0.0533
Acilius,37.2,33.9,1,1,0.0037
Acipenser,66,41.3,9,0,NaN
