genus,MatchTaxon,class,NewMatchTaxon,Richness
Acropora,z,Anthozoa,Anthozoa_Acroporidae,147
Anomocora,az,Anthozoa,Anthozoa_az,1
Anthemiphyllia,az,Anthozoa,Anthozoa_az,7
Asterosmilia,az,Anthozoa,Anthozoa_az,3
Astrangia,az,Anthozoa,Anthozoa_az,10
Astreopora,z,Anthozoa,Anthozoa_az,10
Astroides,az,Anthozoa,Anthozoa_az,1
Balanophyllia,az,Anthozoa,Anthozoa_az,44
Barabattoia,z,Anthozoa,Anthozoa_az,2
Bathycyathus,az,Anthozoa,Anthozoa_az,1
Bathypsammia,az,Anthozoa,Anthozoa_az,1
Bourneotrochus,az,Anthozoa,Anthozoa_az,1
Caryophyllia,az,Anthozoa,Anthozoa_az,57
Caulastrea,z,Anthozoa,Anthozoa_az,5
Ceratotrochus,az,Anthozoa,Anthozoa_az,2
Cladangia,az,Anthozoa,Anthozoa_az,1
Cladocora,z,Anthozoa,Anthozoa_az,2
Coenocyathus,az,Anthozoa,Anthozoa_az,7
Colpophyllia,z,Anthozoa,Anthozoa_Faviidae,2
Conocyathus,az,Anthozoa,Anthozoa_az,3
Conotrochus,az,Anthozoa,Anthozoa_az,3
Crispatotrochus,az,Anthozoa,Anthozoa_az,7
Culicia,az,Anthozoa,Anthozoa_az,8
Cyathelia,az,Anthozoa,Anthozoa_az,1
Cyathotrochus,az,Anthozoa,Anthozoa_az,1
Cyphastrea,z,Anthozoa,Anthozoa_Faviidae,7
Dasmosmilia,az,Anthozoa,Anthozoa_az,3
Deltocyathus,az,Anthozoa,Anthozoa_az,21
Dendrophyllia,az,Anthozoa,Anthozoa_az,20
Desmophyllum,az,Anthozoa,Anthozoa_az,2
Diploastrea,z,Anthozoa,Anthozoa_Faviidae,1
Diploria,z,Anthozoa,Anthozoa_Faviidae,3
Echinopora,z,Anthozoa,Anthozoa_Faviidae,10
Enallopsammia,az,Anthozoa,Anthozoa_az,3
Endopachys,az,Anthozoa,Anthozoa_az,2
Flabellum,az,Anthozoa,Anthozoa_az,37
Foveolocyathus,az,Anthozoa,Anthozoa_az,2
Fungiacyathus,az,Anthozoa,Anthozoa_az,19
Gardineria,az,Anthozoa,Anthozoa_az,5
Goniocorella,az,Anthozoa,Anthozoa_az,1
Guynia,az,Anthozoa,Anthozoa_az,1
Heteropsammia,az,Anthozoa,Anthozoa_az,3
Holcotrochus,az,Anthozoa,Anthozoa_az,2
Idiotrochus,az,Anthozoa,Anthozoa_az,2
Javania,az,Anthozoa,Anthozoa_az,9
Leptopsammia,az,Anthozoa,Anthozoa_az,9
Letepsammia,az,Anthozoa,Anthozoa_az,4
Lophelia,az,Anthozoa,Anthozoa_az,1
Madracis,az,Anthozoa,Anthozoa_az,6
Madrepora,az,Anthozoa,Anthozoa_az,6
Montipora,z,Anthozoa,Anthozoa_Acroporidae,63
Notocyathus,az,Anthozoa,Anthozoa_az,2
Notophyllia,az,Anthozoa,Anthozoa_az,3
Oulangia,az,Anthozoa,Anthozoa_az,2
Oxysmilia,az,Anthozoa,Anthozoa_az,2
Paracyathus,az,Anthozoa,Anthozoa_az,18
Peponocyathus,az,Anthozoa,Anthozoa_az,3
Petrophyllia,az,Anthozoa,Anthozoa_az,1
Phyllangia,az,Anthozoa,Anthozoa_az,6
Placotrochus,az,Anthozoa,Anthozoa_az,1
Platytrochus,az,Anthozoa,Anthozoa_az,3
Polycyathus,az,Anthozoa,Anthozoa_az,10
Pourtalocyathus,az,Anthozoa,Anthozoa_az,1
Rhizopsammia,az,Anthozoa,Anthozoa_az,7
Rhizotrochus,az,Anthozoa,Anthozoa_az,4
Schizocyathus,az,Anthozoa,Anthozoa_az,1
Sphenotrochus,az,Anthozoa,Anthozoa_az,11
Stenocyathus,az,Anthozoa,Anthozoa_az,1
Stephanocyathus,az,Anthozoa,Anthozoa_az,11
Stephanophyllia,az,Anthozoa,Anthozoa_az,3
Thecopsammia,az,Anthozoa,Anthozoa_az,2
Trematotrochus,az,Anthozoa,Anthozoa_az,2
Trochocyathus,az,Anthozoa,Anthozoa_az,22
Tropidocyathus,az,Anthozoa,Anthozoa_az,2
Truncatoflabellum,az,Anthozoa,Anthozoa_az,22
Tubastraea,az,Anthozoa,Anthozoa_az,6
Turbinolia,az,Anthozoa,Anthozoa_az,1
Vaughanella,az,Anthozoa,Anthozoa_az,4
Leptastrea,z,Anthozoa,Anthozoa_Faviidae,7
Oulastrea,z,Anthozoa,Anthozoa_Faviidae,1
Oulophyllia,z,Anthozoa,Anthozoa_Faviidae,2
Parasimplastrea,z,Anthozoa,Anthozoa_other,1
Platygyra,z,Anthozoa,Anthozoa_Faviidae,10
Plesiastrea,z,Anthozoa,Anthozoa_other,2
Solenastrea,z,Anthozoa,Anthozoa_other,2
Acanthastrea,z,Anthozoa,Anthozoa_other,11
Agaricia,z,Anthozoa,Anthozoa_other,7
Alveopora,z,Anthozoa,Anthozoa_other,9
Australomussa,z,Anthozoa,Anthozoa_other,1
Blastomussa,z,Anthozoa,Anthozoa_other,2
Catalaphyllia,z,Anthozoa,Anthozoa_other,1
Coeloseris,z,Anthozoa,Anthozoa_other,1
Coscinaraea,z,Anthozoa,Anthozoa_other,8
Ctenactis,z,Anthozoa,Anthozoa_other,3
Cycloseris,z,Anthozoa,Anthozoa_other,11
Cynarina,z,Anthozoa,Anthozoa_other,1
Dendrogyra,z,Anthozoa,Anthozoa_other,1
Diaseris,z,Anthozoa,Anthozoa_other,2
Dichocoenia,z,Anthozoa,Anthozoa_other,1
Duncanopsammia,z,Anthozoa,Anthozoa_other,1
Echinophyllia,z,Anthozoa,Anthozoa_other,4
Euphyllia,z,Anthozoa,Anthozoa_other,5
Eusmilia,z,Anthozoa,Anthozoa_other,1
Favia,z,Anthozoa,Anthozoa_Faviidae,21
Favites,z,Anthozoa,Anthozoa_Faviidae,12
Fungia,z,Anthozoa,Anthozoa_other,17
Galaxea,z,Anthozoa,Anthozoa_other,7
Gardineroseris,z,Anthozoa,Anthozoa_other,1
Goniastrea,z,Anthozoa,Anthozoa_Faviidae,11
Goniopora,z,Anthozoa,Anthozoa_other,21
Gyrosmilia,z,Anthozoa,Anthozoa_other,1
Halomitra,z,Anthozoa,Anthozoa_other,1
Heliofungia,z,Anthozoa,Anthozoa_other,1
