class,Zone,PROV_CODE,OBIS_records,OBIS_genera,mean_provs,mean_endemic
Anthozoa,Polar,1,8,6,34.66666667,0
Anthozoa,Polar,59,43,4,41.5,0
Anthozoa,Polar,60,283,7,32.85714286,0
Anthozoa,Polar,61,115,4,42.25,0
Anthozoa,Polar,62,185,8,28.5,0
Anthozoa,Temperate,2,7714,15,29.4,0
Anthozoa,Temperate,3,1641,31,22.32258065,0
Anthozoa,Temperate,4,665,23,22.95652174,0
Anthozoa,Temperate,5,893,16,27.375,0
Anthozoa,Temperate,6,1988,49,16.95918367,0
Anthozoa,Temperate,8,110,16,27.4375,0
Anthozoa,Temperate,9,818,50,22.6,0
Anthozoa,Temperate,10,476,13,27.30769231,0
Anthozoa,Temperate,11,150,16,28.25,0
Anthozoa,Temperate,45,6,4,33.75,0
Anthozoa,Temperate,46,25,4,25,0
Anthozoa,Temperate,47,530,21,24.71428571,0
Anthozoa,Temperate,48,230,6,36.5,0
Anthozoa,Temperate,49,5,3,31,0
Anthozoa,Temperate,50,17,4,42.75,0
Anthozoa,Temperate,51,227,36,23.69444444,0
Anthozoa,Temperate,52,46,6,33.16666667,0
Anthozoa,Temperate,53,776,37,21.94594595,0
Anthozoa,Temperate,54,721,21,25.47619048,0
Anthozoa,Temperate,55,451,48,21.58333333,0
Anthozoa,Temperate,56,281,23,22.30434783,0
Anthozoa,Temperate,57,305,34,21.08823529,0
Anthozoa,Temperate,58,1391,49,19.93877551,0
Anthozoa,Tropical,12,65645,62,16,0.048387097
Anthozoa,Tropical,13,150,22,23.81818182,0
Anthozoa,Tropical,14,1798,27,20.85185185,0
Anthozoa,Tropical,15,7,5,18.2,0
Anthozoa,Tropical,16,85,16,28.8125,0
Anthozoa,Tropical,17,96,14,29.5,0.071428571
Anthozoa,Tropical,18,476,59,18.6779661,0.016949153
Anthozoa,Tropical,19,64,16,24.5,0
Anthozoa,Tropical,20,4044,84,18.91666667,0
Anthozoa,Tropical,21,418,46,19.97826087,0
Anthozoa,Tropical,22,799,59,18.91525424,0
Anthozoa,Tropical,23,6,2,36,0
Anthozoa,Tropical,24,1103,77,18.57142857,0
Anthozoa,Tropical,25,546,43,22.39534884,0
Anthozoa,Tropical,26,351,46,21.36956522,0
Anthozoa,Tropical,27,206,31,21.29032258,0
Anthozoa,Tropical,28,457,38,21.21052632,0
Anthozoa,Tropical,29,17813,56,20.10714286,0
Anthozoa,Tropical,30,8127,93,18.4516129,0
Anthozoa,Tropical,31,1135,44,18.18181818,0.022727273
Anthozoa,Tropical,32,589,77,18.83116883,0.012987013
Anthozoa,Tropical,33,29795,96,17.22916667,0
Anthozoa,Tropical,34,4489,89,18.11235955,0.011235955
Anthozoa,Tropical,35,2389,77,18.58441558,0
Anthozoa,Tropical,36,614,42,22.04761905,0
Anthozoa,Tropical,37,39469,37,24.35135135,0
Anthozoa,Tropical,38,1769,59,20.38983051,0
Anthozoa,Tropical,39,3661,72,20.66666667,0
Anthozoa,Tropical,40,351,10,20.3,0
Anthozoa,Tropical,41,2,1,23,0
Anthozoa,Tropical,43,424,25,22.96,0
Anthozoa,Tropical,44,165,18,27.44444444,0
Bivalvia,Polar,1,8724,121,16.88429752,0.016528926
Bivalvia,Polar,59,198,27,20.44444444,0
Bivalvia,Polar,60,2124,56,17.73214286,0.017857143
Bivalvia,Polar,61,1557,56,17.44642857,0.035714286
Bivalvia,Polar,62,362,56,16,0
Bivalvia,Temperate,2,201780,176,14.84090909,0.028409091
Bivalvia,Temperate,3,3257,115,17.34782609,0.026086957
Bivalvia,Temperate,4,9230,168,16.03571429,0.023809524
Bivalvia,Temperate,5,78488,174,15.43678161,0.005747126
Bivalvia,Temperate,6,21706,294,12.55782313,0.023809524
Bivalvia,Temperate,7,3515,31,16.74193548,0
Bivalvia,Temperate,8,4353,135,16.77037037,0.014814815
Bivalvia,Temperate,9,2951,109,18.96330275,0
Bivalvia,Temperate,10,11060,172,13.8255814,0.081395349
Bivalvia,Temperate,11,3067,139,15.38848921,0.014388489
Bivalvia,Temperate,45,140,44,19.90909091,0
Bivalvia,Temperate,46,14,3,31.33333333,0
Bivalvia,Temperate,47,3468,174,15.37356322,0.022988506
Bivalvia,Temperate,48,1197,112,16.59821429,0.026785714
Bivalvia,Temperate,50,439,91,18.59340659,0
Bivalvia,Temperate,51,4920,236,13.97457627,0.059322034
Bivalvia,Temperate,53,887,91,16.46153846,0
Bivalvia,Temperate,54,9074,122,14.31147541,0.057377049
Bivalvia,Temperate,55,2650,86,20.19767442,0.011627907
Bivalvia,Temperate,56,1557,53,19.64150943,0
Bivalvia,Temperate,57,427,34,23.05882353,0
Bivalvia,Temperate,58,111,33,19.93939394,0
Bivalvia,Tropical,12,26003,329,11.92401216,0.039513678
Bivalvia,Tropical,13,273,48,21,0
Bivalvia,Tropical,14,1674,128,17.5546875,0.0078125
Bivalvia,Tropical,15,6,4,36,0
Bivalvia,Tropical,16,101,23,19.69565217,0
Bivalvia,Tropical,17,487,89,19.6741573,0.011235955
Bivalvia,Tropical,18,36,19,25.63157895,0
Bivalvia,Tropical,19,158,59,19.79661017,0.016949153
Bivalvia,Tropical,20,3503,241,13.4813278,0.070539419
Bivalvia,Tropical,21,445,111,18.28828829,0.036036036
Bivalvia,Tropical,22,169,71,19.83098592,0.028169014
Bivalvia,Tropical,23,400,122,16.62295082,0.024590164
Bivalvia,Tropical,24,816,207,14.37681159,0.077294686
Bivalvia,Tropical,25,3511,108,17.59259259,0.046296296
Bivalvia,Tropical,26,175,61,19.09836066,0.016393443
Bivalvia,Tropical,27,36,13,18,0
Bivalvia,Tropical,28,417,48,21.20833333,0
Bivalvia,Tropical,29,2926,62,20.77419355,0
Bivalvia,Tropical,30,3054,191,14.65968586,0.062827225
Bivalvia,Tropical,31,90,28,19.64285714,0.107142857
Bivalvia,Tropical,32,1021,97,19.34020619,0.020618557
Bivalvia,Tropical,33,7730,149,16.2147651,0.013422819
Bivalvia,Tropical,34,803,78,17.98717949,0.012820513
Bivalvia,Tropical,35,4680,104,16.89423077,0.048076923
Bivalvia,Tropical,36,212,35,24.71428571,0
Bivalvia,Tropical,37,2117,61,22.78688525,0.016393443
Bivalvia,Tropical,38,378,18,19.38888889,0
Bivalvia,Tropical,39,852,39,20.02564103,0
Bivalvia,Tropical,40,228,17,24.82352941,0
Bivalvia,Tropical,41,14,5,17,0.2
Bivalvia,Tropical,42,16,8,28.5,0
Bivalvia,Tropical,43,1013,105,19.24761905,0.028571429
Bivalvia,Tropical,44,47,6,33.16666667,0
Malacostraca,Polar,1,37224,25,11.88,0
Malacostraca,Polar,59,15,1,8,0
Malacostraca,Polar,60,13,6,13.16666667,0
Malacostraca,Polar,61,1,1,5,0
Malacostraca,Polar,62,287,12,9.833333333,0
Malacostraca,Temperate,2,75599,53,12.77358491,0
Malacostraca,Temperate,3,1657,43,13.34883721,0
Malacostraca,Temperate,4,3449,69,12.72463768,0.072463768
Malacostraca,Temperate,5,56650,65,13.15384615,0
Malacostraca,Temperate,6,29354,187,8.22459893,0.005347594
Malacostraca,Temperate,7,8,6,15.33333333,0
Malacostraca,Temperate,8,2529,75,12.29333333,0.026666667
Malacostraca,Temperate,9,1586,118,11.10169492,0.025423729
Malacostraca,Temperate,10,9786,29,8.103448276,0.103448276
Malacostraca,Temperate,11,307,55,10.92727273,0.090909091
Malacostraca,Temperate,45,47,18,9.388888889,0.277777778
Malacostraca,Temperate,46,9,2,11,0
Malacostraca,Temperate,47,2634,86,10.02325581,0.023255814
Malacostraca,Temperate,48,15587,20,8.8,0.15
Malacostraca,Temperate,49,1,1,12,0
Malacostraca,Temperate,50,4522,47,12.31914894,0
Malacostraca,Temperate,51,4231,171,10.59064327,0.046783626
Malacostraca,Temperate,52,2,2,15.5,0
Malacostraca,Temperate,53,612,33,9.454545455,0
Malacostraca,Temperate,54,2518,48,11.02083333,0.020833333
Malacostraca,Temperate,55,945,61,13.2295082,0.06557377
Malacostraca,Temperate,56,836,19,14.26315789,0.052631579
Malacostraca,Temperate,57,264,8,18.5,0
Malacostraca,Temperate,58,30,19,17.36842105,0
Malacostraca,Tropical,12,9128,239,7.271966527,0.10460251
Malacostraca,Tropical,13,537,64,10.75,0.03125
Malacostraca,Tropical,14,437,82,10.51219512,0.024390244
Malacostraca,Tropical,15,12,10,16.1,0
Malacostraca,Tropical,16,35,18,15.22222222,0.055555556
Malacostraca,Tropical,17,238,76,10.36842105,0.171052632
Malacostraca,Tropical,18,476,97,12.67010309,0.051546392
Malacostraca,Tropical,19,349,68,13.38235294,0.088235294
Malacostraca,Tropical,20,797,192,10.296875,0.041666667
Malacostraca,Tropical,21,380,93,12.38709677,0.032258065
Malacostraca,Tropical,22,333,89,12.91011236,0
Malacostraca,Tropical,23,340,80,12.1875,0.0375
Malacostraca,Tropical,24,642,170,10.05882353,0.094117647
Malacostraca,Tropical,25,7506,122,10.83606557,0.016393443
Malacostraca,Tropical,26,91,43,12.69767442,0.093023256
Malacostraca,Tropical,27,12,7,13.28571429,0
Malacostraca,Tropical,28,63,20,14.35,0
Malacostraca,Tropical,29,693,28,13.67857143,0.107142857
Malacostraca,Tropical,30,2189,173,9.167630058,0.080924855
Malacostraca,Tropical,31,79,21,14.04761905,0
Malacostraca,Tropical,32,95,36,12.30555556,0
Malacostraca,Tropical,33,9433,153,8.908496732,0.08496732
Malacostraca,Tropical,34,1481,135,11.11851852,0.051851852
Malacostraca,Tropical,35,5396,186,7.849462366,0.134408602
Malacostraca,Tropical,36,29,10,13.6,0
Malacostraca,Tropical,37,1554,41,15.82926829,0
Malacostraca,Tropical,38,95,38,14.71052632,0.026315789
Malacostraca,Tropical,39,493,47,13.91489362,0.021276596
Malacostraca,Tropical,40,203,50,10.8,0.06
Malacostraca,Tropical,41,286,32,13.5625,0
Malacostraca,Tropical,42,1,1,39,0
Malacostraca,Tropical,43,171,75,10.36,0.053333333
Malacostraca,Tropical,44,18036,9,16.44444444,0.111111111
Echinoidea,Polar,1,387,15,15.6,0
Echinoidea,Polar,59,126,17,8.352941176,0
Echinoidea,Polar,60,1003,23,6.782608696,0.043478261
Echinoidea,Polar,61,1065,23,6.565217391,0
