PROV_CODE,Area,Zone
1,5793.091325,Polar
2,893.6296183,Temperate
3,396.8713741,Temperate
4,539.5390506,Temperate
5,323.363837,Temperate
6,188.342067,Temperate
7,154.6480545,Temperate
8,1084.02281,Temperate
9,181.6231277,Temperate
10,638.4351156,Temperate
11,178.2469755,Temperate
12,647.4139294,Tropical
13,211.6507659,Tropical
14,282.123675,Tropical
15,71.45260015,Tropical
16,125.4140474,Tropical
17,381.9001403,Tropical
18,272.2682268,Tropical
19,321.2945084,Tropical
20,687.4870086,Tropical
21,214.2717809,Tropical
22,157.3412003,Tropical
23,214.6408406,Tropical
24,165.122454,Tropical
25,284.0893464,Tropical
26,272.7614388,Tropical
27,128.2122727,Tropical
28,89.88491353,Tropical
29,447.9692691,Tropical
30,489.0576402,Tropical
31,292.4942274,Tropical
32,244.7096824,Tropical
33,78.55470802,Tropical
34,98.14843061,Tropical
35,427.1293697,Tropical
36,69.63045537,Tropical
37,234.9004283,Tropical
38,365.1071117,Tropical
39,388.8359825,Tropical
40,498.3410946,Tropical
41,60.83125387,Tropical
42,60.15030062,Tropical
43,387.7969044,Tropical
44,68.73738619,Tropical
45,274.240155,Temperate
46,83.53713254,Temperate
47,226.3737861,Temperate
48,362.849058,Temperate
49,101.4481705,Temperate
50,135.6239136,Temperate
51,112.7656244,Temperate
52,40.74367709,Temperate
53,114.5472964,Temperate
54,186.3941532,Temperate
55,73.92088235,Temperate
56,158.9056787,Temperate
57,198.8331726,Temperate
58,60.77651218,Temperate
59,272.3953271,Polar
60,352.0137652,Polar
61,3545.135991,Polar
62,98.94565935,Polar
